ref_area.label,sex.label,classif1.label,time,obs_value
Australia,Female,"Occupation (ISCO-08), 2 digit level: 31 - Science and engineering associate professionals",2023,37.536
Australia,Female,"Occupation (ISCO-08), 2 digit level: 32 - Health associate professionals",2023,195.958
Australia,Female,"Occupation (ISCO-08), 2 digit level: 33 - Business and administration associate professionals",2023,554.718
Australia,Female,"Occupation (ISCO-08), 2 digit level: 34 - Legal, social, cultural and related associate professionals",2023,214.054
Australia,Female,"Occupation (ISCO-08), 2 digit level: 35 - Information and communications technicians",2023,18.589
Australia,Female,"Occupation (ISCO-08), 2 digit level: 41 - General and keyboard clerks",2023,307.869
Australia,Female,"Occupation (ISCO-08), 2 digit level: 42 - Customer services clerks",2023,234.774
Australia,Female,"Occupation (ISCO-08), 2 digit level: 43 - Numerical and material recording clerks",2023,325.994
Australia,Female,"Occupation (ISCO-08), 2 digit level: 44 - Other clerical support workers",2023,56.68
Australia,Female,"Occupation (ISCO-08), 2 digit level: 51 - Personal service workers",2023,391.2
Australia,Female,"Occupation (ISCO-08), 2 digit level: 52 - Sales workers",2023,561.356
Australia,Female,"Occupation (ISCO-08), 2 digit level: 53 - Personal care workers",2023,571.185
Australia,Female,"Occupation (ISCO-08), 2 digit level: 54 - Protective services workers",2023,45.963
Australia,Female,"Occupation (ISCO-08), 2 digit level: 61 - Market-oriented skilled agricultural workers",2023,58.291
Australia,Female,"Occupation (ISCO-08), 2 digit level: 62 - Market-oriented skilled forestry, fishery and hunting workers",2023,0.775
Australia,Female,"Occupation (ISCO-08), 2 digit level: 71 - Building and related trades workers, excluding electricians",2023,16.464
Australia,Female,"Occupation (ISCO-08), 2 digit level: 72 - Metal, machinery and related trades workers",2023,9.599
Australia,Female,"Occupation (ISCO-08), 2 digit level: 73 - Handicraft and printing workers",2023,12.696
Australia,Female,"Occupation (ISCO-08), 2 digit level: 74 - Electrical and electronic trades workers",2023,9.96
Australia,Female,"Occupation (ISCO-08), 2 digit level: 75 - Food processing, wood working, garment and other craft and related trades workers",2023,45.053
Australia,Female,"Occupation (ISCO-08), 2 digit level: 81 - Stationary plant and machine operators",2023,70.285
Australia,Female,"Occupation (ISCO-08), 2 digit level: 82 - Assemblers",2023,5.189
Australia,Female,"Occupation (ISCO-08), 2 digit level: 83 - Drivers and mobile plant operators",2023,46.255
Australia,Female,"Occupation (ISCO-08), 2 digit level: 91 - Cleaners and helpers",2023,117.706
Australia,Female,"Occupation (ISCO-08), 2 digit level: 92 - Agricultural, forestry and fishery labourers",2023,30.916
Australia,Female,"Occupation (ISCO-08), 2 digit level: 93 - Labourers in mining, construction, manufacturing and transport",2023,84.808
Australia,Female,"Occupation (ISCO-08), 2 digit level: 94 - Food preparation assistants",2023,98.373
Australia,Female,"Occupation (ISCO-08), 2 digit level: 96 - Refuse workers and other elementary workers",2023,12.986
Australia,Male,"Occupation (ISCO-08), 2 digit level: 01 - Commissioned armed forces officers",2022,0.0
Australia,Male,"Occupation (ISCO-08), 2 digit level: 11 - Chief executives, senior officials and legislators",2022,101.55
Australia,Male,"Occupation (ISCO-08), 2 digit level: 12 - Administrative and commercial managers",2022,259.592
Australia,Male,"Occupation (ISCO-08), 2 digit level: 13 - Production and specialised services managers",2022,376.659
Australia,Male,"Occupation (ISCO-08), 2 digit level: 14 - Hospitality, retail and other services managers",2022,229.266
Australia,Male,"Occupation (ISCO-08), 2 digit level: 21 - Science and engineering professionals",2022,313.323
Australia,Male,"Occupation (ISCO-08), 2 digit level: 22 - Health professionals",2022,188.72
Australia,Male,"Occupation (ISCO-08), 2 digit level: 23 - Teaching professionals",2022,179.894
Australia,Male,"Occupation (ISCO-08), 2 digit level: 24 - Business and administration professionals",2022,321.373
Australia,Male,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2022,284.292
Australia,Male,"Occupation (ISCO-08), 2 digit level: 26 - Legal, social and cultural professionals",2022,158.368
Australia,Male,"Occupation (ISCO-08), 2 digit level: 31 - Science and engineering associate professionals",2022,178.089
Australia,Male,"Occupation (ISCO-08), 2 digit level: 32 - Health associate professionals",2022,63.834
Australia,Male,"Occupation (ISCO-08), 2 digit level: 33 - Business and administration associate professionals",2022,338.882
Australia,Male,"Occupation (ISCO-08), 2 digit level: 34 - Legal, social, cultural and related associate professionals",2022,167.017
Australia,Male,"Occupation (ISCO-08), 2 digit level: 35 - Information and communications technicians",2022,65.949
Australia,Male,"Occupation (ISCO-08), 2 digit level: 41 - General and keyboard clerks",2022,67.154
Australia,Male,"Occupation (ISCO-08), 2 digit level: 42 - Customer services clerks",2022,65.201
Australia,Male,"Occupation (ISCO-08), 2 digit level: 43 - Numerical and material recording clerks",2022,144.238
Australia,Male,"Occupation (ISCO-08), 2 digit level: 44 - Other clerical support workers",2022,30.134
Australia,Male,"Occupation (ISCO-08), 2 digit level: 51 - Personal service workers",2022,155.626
Australia,Male,"Occupation (ISCO-08), 2 digit level: 52 - Sales workers",2022,332.322
Australia,Male,"Occupation (ISCO-08), 2 digit level: 53 - Personal care workers",2022,118.021
Australia,Male,"Occupation (ISCO-08), 2 digit level: 54 - Protective services workers",2022,151.595
Australia,Male,"Occupation (ISCO-08), 2 digit level: 61 - Market-oriented skilled agricultural workers",2022,208.665
Australia,Male,"Occupation (ISCO-08), 2 digit level: 62 - Market-oriented skilled forestry, fishery and hunting workers",2022,7.531
Australia,Male,"Occupation (ISCO-08), 2 digit level: 71 - Building and related trades workers, excluding electricians",2022,524.617
Australia,Male,"Occupation (ISCO-08), 2 digit level: 72 - Metal, machinery and related trades workers",2022,341.424
Australia,Male,"Occupation (ISCO-08), 2 digit level: 73 - Handicraft and printing workers",2022,28.792
Australia,Male,"Occupation (ISCO-08), 2 digit level: 74 - Electrical and electronic trades workers",2022,238.338
Australia,Male,"Occupation (ISCO-08), 2 digit level: 75 - Food processing, wood working, garment and other craft and related trades workers",2022,106.121
Australia,Male,"Occupation (ISCO-08), 2 digit level: 81 - Stationary plant and machine operators",2022,165.308
Australia,Male,"Occupation (ISCO-08), 2 digit level: 82 - Assemblers",2022,21.71
Australia,Male,"Occupation (ISCO-08), 2 digit level: 83 - Drivers and mobile plant operators",2022,538.84
Australia,Male,"Occupation (ISCO-08), 2 digit level: 91 - Cleaners and helpers",2022,106.577
Australia,Male,"Occupation (ISCO-08), 2 digit level: 92 - Agricultural, forestry and fishery labourers",2022,63.902
Australia,Male,"Occupation (ISCO-08), 2 digit level: 93 - Labourers in mining, construction, manufacturing and transport",2022,305.784
Australia,Male,"Occupation (ISCO-08), 2 digit level: 94 - Food preparation assistants",2022,105.737
