primary_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,>15
Norway,0.03937007874015748,0.12992125984251968,0.11023622047244094,0.12992125984251968,0.08267716535433071,0.07086614173228346,0.05905511811023622,0.04330708661417323,0.031496062992125984,0.04330708661417323,0.01968503937007874,0.023622047244094488,0.011811023622047244,0.03543307086614173,0.015748031496062992,0.011811023622047244,0.14173228346456693
PR China,0.125,0.125,0.5,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,0.0,0.13333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.4
Panama,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.4117647058823529
Peru,0.0,0.15151515151515152,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.09090909090909091,0.0,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.030303030303030304,0.0,0.06060606060606061,0.0,0.030303030303030304,0.030303030303030304,0.2727272727272727
Philippines,0.0,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.5238095238095238
Poland,0.030612244897959183,0.1683673469387755,0.11734693877551021,0.08163265306122448,0.10714285714285714,0.07142857142857142,0.030612244897959183,0.04081632653061224,0.02040816326530612,0.04591836734693878,0.015306122448979591,0.01020408163265306,0.03571428571428571,0.025510204081632654,0.02040816326530612,0.02040816326530612,0.15816326530612246
Portugal,0.043209876543209874,0.14814814814814814,0.12345679012345678,0.12962962962962962,0.037037037037037035,0.07407407407407407,0.024691358024691357,0.08024691358024691,0.04938271604938271,0.037037037037037035,0.012345679012345678,0.024691358024691357,0.012345679012345678,0.018518518518518517,0.006172839506172839,0.030864197530864196,0.14814814814814814
Qatar,0.0,0.0967741935483871,0.0967741935483871,0.06451612903225806,0.16129032258064516,0.0,0.0967741935483871,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.2903225806451613
ROC,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Republic of Singapore,0.0,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Romania,0.0,0.18421052631578946,0.0,0.13157894736842105,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.05263157894736842,0.02631578947368421,0.0,0.05263157894736842,0.07894736842105263,0.02631578947368421,0.0,0.0,0.3684210526315789
Russia,0.0,0.12345679012345678,0.13991769547325103,0.08641975308641975,0.09053497942386832,0.07407407407407407,0.0411522633744856,0.053497942386831275,0.06584362139917696,0.04526748971193416,0.024691358024691357,0.01646090534979424,0.02880658436213992,0.02880658436213992,0.01646090534979424,0.00823045267489712,0.15637860082304528
Rwanda,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714
